ubuntu,localhost.localdomain
root,root
daemon,bin
bin,daemon
sys,sys
adm,adm
tty,tty
disk,disk
lp,lp
mail,mem
news,kmem
uucp,wheel
man,cdrom
proxy,mail
kmem,man
dialout,dialout
fax,floppy
voice,games
cdrom,tape
floppy,video
tape,ftp
sudo,lock
audio,audio
dip,users
www-data,nobody
backup,dbus
operator,utmp
list,utempter
irc,tss
src,input
gnats,kvm
shadow,render
utmp,systemd-journal
video,systemd-coredump
sasl,systemd-resolve
plugdev,printadmin
staff,unbound
games,gluster
users,geoclue
nogroup,ssh_keys
systemd-journal,libstoragemgmt
systemd-network,cockpit-ws
systemd-resolve,cockpit-wsinstance
systemd-timesync,apache
crontab,qemu
messagebus,usbmuxd
input,rpc
kvm,avahi
render,brlapi
syslog,polkitd
tss,rtkit
bluetooth,pipewire
ssl-cert,pulse-access
uuidd,pulse-rt
tcpdump,pulse
avahi-autoipd,cgred
rtkit,saslauth
ssh,postdrop
netdev,postfix
lpadmin,radvd
avahi,dnsmasq
scanner,pegasus
saned,libvirt
nm-openvpn,chrony
whoopsie,pcp
colord,rpcuser
geoclue,colord
pulse,setroubleshoot
pulse-access,grafana
gdm,abrt
lxd,sssd
novaprime,flatpak
sambashare,clevis
systemd-coredump,gdm
shalini,gnome-initial-setup
,pcpqa
,rngd
,stapusr
,stapsys
,stapdev
,sshd
,slocate
,dovecot
,dovenull
,tcpdump
,novaprime
