ubuntu,localhost.localdomain
root,root
daemon,bin
bin,daemon
sys,adm
sync,lp
games,sync
man,shutdown
lp,halt
mail,mail
news,operator
uucp,games
proxy,ftp
www-data,nobody
backup,dbus
list,tss
irc,systemd-coredump
gnats,systemd-resolve
nobody,unbound
systemd-network,gluster
systemd-resolve,geoclue
systemd-timesync,libstoragemgmt
messagebus,cockpit-ws
syslog,cockpit-wsinstance
_apt,apache
tss,qemu
uuidd,usbmuxd
tcpdump,rpc
avahi-autoipd,avahi
usbmux,polkitd
rtkit,rtkit
dnsmasq,pipewire
cups-pk-helper,pulse
speech-dispatcher,saslauth
avahi,postfix
kernoops,radvd
saned,dnsmasq
nm-openvpn,pegasus
hplip,chrony
whoopsie,pcp
colord,rpcuser
geoclue,colord
pulse,setroubleshoot
gnome-initial-setup,grafana
gdm,abrt
novaprime,sssd
systemd-coredump,flatpak
sshd,clevis
shalini,gdm
,gnome-initial-setup
,pcpqa
,rngd
,sshd
,dovecot
,dovenull
,tcpdump
,novaprime
